From,To,Type,Amount,Payment Method,Card Number,Expiry Date,CVV,Account Number,IFSC Code,Contact Number,Date,is_suspicious,suspicion_reasons,timestamp
user1,user2,card,176,Card Payment,-,02/29,111,-,-,+14155552671,"02/16/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-16 13:24:16.656449
user1,user2,contact,465,Card Payment,1234567890123456,-,111,9876543210,-,9152251477,"02/17/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-17 13:24:16.656449
user1,user2,neft,486,Card Payment,1234567890123456,02/29,-,9876543210,-,9152251477,"03/02/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-02 13:24:16.656449
user1,user2,contact,77,NEFT Transfer,1234567890123456,02/29,-,9876543210,SBIN1234567,+14155552671,"02/28/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-28 13:24:16.656449
user1,user2,contact,70,NEFT Transfer,-,02/29,-,9876543210,-,9152251477,"03/06/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-06 13:24:16.656449
user1,user2,contact,37,NEFT Transfer,1234567890123456,-,-,9876543210,SBIN1234567,9152251477,"03/10/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-10 13:24:16.656449
user1,user2,neft,427,NEFT Transfer,1234567890123456,02/29,111,9876543210,-,+441632960961,"03/10/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-10 13:24:16.656449
user1,user2,card,350,Card Payment,1234567890123456,-,-,9876543210,SBIN1234567,+14155552671,"03/08/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-08 13:24:16.656449
user1,user2,card,137,Contact Payment,1234567890123456,02/29,-,-,-,9152251477,"03/14/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-14 13:24:16.656449
user1,user2,neft,200,Card Payment,-,-,-,-,-,+441632960961,"02/24/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-24 13:24:16.656449
user1,user2,card,360,NEFT Transfer,-,-,111,-,-,+14155552671,"03/14/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-14 13:24:16.656449
user1,user2,neft,297,Contact Payment,-,-,111,9876543210,-,+441632960961,"03/01/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-01 13:24:16.656449
user1,user2,neft,336,NEFT Transfer,-,02/29,-,-,-,1234567890,"02/27/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-27 13:24:16.656449
user1,user2,card,210,NEFT Transfer,1234567890123456,-,111,9876543210,SBIN1234567,1234567890,"02/25/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-25 13:24:16.656449
user1,user2,contact,110,NEFT Transfer,-,-,-,9876543210,-,9152251477,"03/12/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-12 13:24:16.656449
user1,user2,contact,72,Card Payment,-,-,-,-,SBIN1234567,1234567890,"02/26/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-26 13:24:16.656449
user1,user2,neft,5,Contact Payment,1234567890123456,02/29,-,-,-,1234567890,"02/20/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-20 13:24:16.656449
user1,user2,neft,54,NEFT Transfer,-,02/29,-,-,-,+441632960961,"03/13/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-13 13:24:16.656449
user1,user2,contact,493,NEFT Transfer,-,-,-,-,SBIN1234567,+441632960961,"02/25/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-25 13:24:16.656449
user1,user2,neft,99,Contact Payment,-,-,111,-,SBIN1234567,+14155552671,"03/13/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-13 13:24:16.656449
user1,user2,card,125,NEFT Transfer,-,-,-,-,-,+441632960961,"02/17/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-17 13:24:16.656449
user1,user2,contact,28,Card Payment,-,02/29,-,9876543210,-,9152251477,"03/04/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-04 13:24:16.656449
user1,user2,neft,181,Contact Payment,-,-,111,9876543210,SBIN1234567,+441632960961,"03/16/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-16 13:24:16.656449
user1,user2,card,358,Contact Payment,1234567890123456,02/29,111,9876543210,-,1234567890,"03/15/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-03-15 13:24:16.656449
user1,user2,card,175,Contact Payment,1234567890123456,-,111,-,-,+14155552671,"02/23/2025, 01:24:16 PM",True,['Frequent small transactions to the same recipient'],2025-02-23 13:24:16.656449
user25,user72,contact,49679,Card Payment,1234567890123456,02/29,111,-,-,9152251477,"03/16/2025, 02:31:00 AM",True,"['High transaction amount', 'Transaction at odd hours (2 AM - 5 AM)']",2025-03-16 02:31:00.000000
user12,user16,neft,34372,Card Payment,1234567890123456,02/29,111,-,-,1234567890,"03/16/2025, 04:58:00 AM",True,"['High transaction amount', 'Transaction at odd hours (2 AM - 5 AM)']",2025-03-16 04:58:00.000000
user5,user51,card,10329,Card Payment,-,02/29,-,-,-,+441632960961,"03/16/2025, 04:27:00 AM",True,"['High transaction amount', 'Transaction at odd hours (2 AM - 5 AM)', 'Transaction to a non-Indian contact number']",2025-03-16 04:27:00.000000
user21,user33,neft,15421,Contact Payment,1234567890123456,-,111,-,SBIN1234567,9152251477,"03/16/2025, 03:40:00 AM",True,"['High transaction amount', 'Transaction at odd hours (2 AM - 5 AM)']",2025-03-16 03:40:00.000000
user4,user24,card,10464,Card Payment,-,-,111,-,SBIN1234567,+441632960961,"03/16/2025, 04:40:00 AM",True,"['High transaction amount', 'Transaction at odd hours (2 AM - 5 AM)', 'Transaction to a non-Indian contact number']",2025-03-16 04:40:00.000000
user77,user76,contact,36722,NEFT Transfer,1234567890123456,-,111,9876543210,SBIN1234567,+14155552671,"03/16/2025, 04:53:00 AM",True,"['High transaction amount', 'Transaction at odd hours (2 AM - 5 AM)', 'Transaction to a non-Indian contact number']",2025-03-16 04:53:00.000000
user72,user70,neft,41113,Contact Payment,1234567890123456,-,111,9876543210,-,9152251477,"03/16/2025, 03:23:00 AM",True,"['High transaction amount', 'Transaction at odd hours (2 AM - 5 AM)']",2025-03-16 03:23:00.000000
user69,user44,neft,13175,Card Payment,1234567890123456,02/29,-,-,-,1234567890,"03/16/2025, 04:39:00 AM",True,"['High transaction amount', 'Transaction at odd hours (2 AM - 5 AM)']",2025-03-16 04:39:00.000000
user65,user87,contact,44300,Card Payment,1234567890123456,-,-,-,-,+14155552671,"03/16/2025, 04:35:00 AM",True,"['High transaction amount', 'Transaction at odd hours (2 AM - 5 AM)', 'Transaction to a non-Indian contact number']",2025-03-16 04:35:00.000000
user31,user76,neft,15595,NEFT Transfer,1234567890123456,02/29,-,-,SBIN1234567,1234567890,"03/16/2025, 04:38:00 AM",True,"['High transaction amount', 'Transaction at odd hours (2 AM - 5 AM)']",2025-03-16 04:38:00.000000
user17,user94,contact,37552,Contact Payment,1234567890123456,02/29,-,-,-,9152251477,"03/15/2025, 01:24:16 PM",True,['High transaction amount'],2025-03-15 13:24:16.657447
user34,user72,card,9375,Contact Payment,1234567890123456,02/29,-,-,-,+441632960961,"02/25/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-02-25 13:24:16.657447
user47,user25,card,7374,Contact Payment,-,02/29,-,-,-,9152251477,"02/19/2025, 01:24:16 PM",False,[],2025-02-19 13:24:16.657447
user33,user86,contact,7426,NEFT Transfer,1234567890123456,-,-,-,SBIN1234567,+441632960961,"03/14/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-03-14 13:24:16.657447
user75,user91,neft,4007,Contact Payment,1234567890123456,02/29,111,-,SBIN1234567,+14155552671,"03/03/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-03-03 13:24:16.657447
user61,user40,contact,4385,Card Payment,1234567890123456,02/29,111,9876543210,-,+441632960961,"02/18/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-02-18 13:24:16.657447
user46,user61,card,15775,Contact Payment,-,-,-,9876543210,SBIN1234567,+14155552671,"02/18/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-02-18 13:24:16.657447
user5,user26,neft,6093,Card Payment,-,-,-,9876543210,-,+441632960961,"02/27/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-02-27 13:24:16.657447
user32,user49,neft,4495,NEFT Transfer,-,02/29,-,-,SBIN1234567,9152251477,"03/15/2025, 01:24:16 PM",False,[],2025-03-15 13:24:16.657447
user9,user31,card,14956,Card Payment,-,02/29,111,9876543210,SBIN1234567,+441632960961,"02/22/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-02-22 13:24:16.657447
user98,user3,neft,7161,Contact Payment,-,02/29,111,-,SBIN1234567,1234567890,"02/23/2025, 01:24:16 PM",False,[],2025-02-23 13:24:16.657447
user91,user7,neft,10468,Contact Payment,-,02/29,-,9876543210,-,+441632960961,"02/25/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-02-25 13:24:16.657447
user50,user44,neft,7311,NEFT Transfer,1234567890123456,02/29,111,9876543210,-,9152251477,"03/06/2025, 01:24:16 PM",False,[],2025-03-06 13:24:16.657447
user95,user52,card,15136,Card Payment,1234567890123456,-,-,9876543210,-,+441632960961,"02/16/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-02-16 13:24:16.657447
user72,user63,neft,11470,NEFT Transfer,1234567890123456,02/29,111,9876543210,SBIN1234567,9152251477,"02/26/2025, 01:24:16 PM",False,['High transaction amount'],2025-02-26 13:24:16.657447
user79,user55,contact,6080,NEFT Transfer,-,-,111,9876543210,SBIN1234567,9152251477,"03/12/2025, 01:24:16 PM",False,[],2025-03-12 13:24:16.657447
user64,user81,contact,18789,Card Payment,1234567890123456,-,111,-,-,+14155552671,"02/21/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-02-21 13:24:16.657447
user71,user10,card,8724,Contact Payment,-,-,111,9876543210,-,9152251477,"03/05/2025, 01:24:16 PM",False,[],2025-03-05 13:24:16.657447
user9,user21,neft,14858,Card Payment,1234567890123456,-,-,-,SBIN1234567,+441632960961,"02/28/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-02-28 13:24:16.657447
user58,user37,neft,15459,Contact Payment,1234567890123456,02/29,111,-,SBIN1234567,9152251477,"03/08/2025, 01:24:16 PM",False,['High transaction amount'],2025-03-08 13:24:16.657447
user7,user39,card,44756,Card Payment,-,02/29,111,-,SBIN1234567,+14155552671,"03/05/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-03-05 13:24:16.657447
user64,user87,neft,8790,Contact Payment,-,02/29,111,9876543210,-,1234567890,"02/26/2025, 01:24:16 PM",False,[],2025-02-26 13:24:16.657447
user19,user50,contact,18694,Contact Payment,1234567890123456,-,111,9876543210,SBIN1234567,9152251477,"02/17/2025, 01:24:16 PM",False,['High transaction amount'],2025-02-17 13:24:16.657447
user28,user12,contact,9803,Contact Payment,1234567890123456,02/29,-,9876543210,-,1234567890,"02/24/2025, 01:24:16 PM",False,[],2025-02-24 13:24:16.657447
user61,user94,card,2376,Card Payment,-,02/29,111,-,SBIN1234567,9152251477,"02/25/2025, 01:24:16 PM",False,[],2025-02-25 13:24:16.657447
user97,user91,contact,2013,Contact Payment,1234567890123456,02/29,-,-,-,1234567890,"03/14/2025, 01:24:16 PM",False,[],2025-03-14 13:24:16.657447
user24,user3,neft,15658,Contact Payment,1234567890123456,02/29,111,9876543210,-,9152251477,"03/10/2025, 01:24:16 PM",False,['High transaction amount'],2025-03-10 13:24:16.657447
user31,user24,contact,15751,Card Payment,-,-,111,9876543210,SBIN1234567,9152251477,"03/15/2025, 01:24:16 PM",False,['High transaction amount'],2025-03-15 13:24:16.657447
user94,user93,card,7744,Contact Payment,1234567890123456,02/29,-,9876543210,SBIN1234567,1234567890,"02/19/2025, 01:24:16 PM",False,[],2025-02-19 13:24:16.657447
user39,user93,card,7370,Contact Payment,-,02/29,-,9876543210,SBIN1234567,+14155552671,"03/01/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-03-01 13:24:16.657447
user61,user16,card,12435,NEFT Transfer,1234567890123456,02/29,-,-,SBIN1234567,9152251477,"02/21/2025, 01:24:16 PM",False,['High transaction amount'],2025-02-21 13:24:16.657447
user78,user100,contact,3845,NEFT Transfer,-,02/29,111,-,SBIN1234567,9152251477,"02/16/2025, 01:24:16 PM",False,[],2025-02-16 13:24:16.657447
user30,user27,contact,16609,NEFT Transfer,-,02/29,-,-,SBIN1234567,+14155552671,"03/09/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-03-09 13:24:16.657447
user78,user83,contact,10904,Contact Payment,-,02/29,111,-,-,9152251477,"03/15/2025, 01:24:16 PM",False,['High transaction amount'],2025-03-15 13:24:16.657447
user49,user88,neft,1282,NEFT Transfer,1234567890123456,02/29,111,9876543210,SBIN1234567,1234567890,"03/09/2025, 01:24:16 PM",False,[],2025-03-09 13:24:16.657447
user68,user27,contact,16969,Card Payment,-,-,-,9876543210,-,9152251477,"03/11/2025, 01:24:16 PM",False,['High transaction amount'],2025-03-11 13:24:16.657447
user94,user84,neft,5345,NEFT Transfer,-,-,-,-,SBIN1234567,+14155552671,"03/03/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-03-03 13:24:16.657447
user8,user58,card,14565,Contact Payment,1234567890123456,-,-,-,SBIN1234567,+441632960961,"02/17/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-02-17 13:24:16.658447
user96,user76,card,11860,Contact Payment,-,-,-,9876543210,-,9152251477,"02/22/2025, 01:24:16 PM",False,['High transaction amount'],2025-02-22 13:24:16.658447
user40,user90,neft,11665,NEFT Transfer,-,-,111,-,SBIN1234567,1234567890,"03/12/2025, 01:24:16 PM",False,['High transaction amount'],2025-03-12 13:24:16.658447
user76,user49,neft,15261,Contact Payment,-,-,111,9876543210,SBIN1234567,1234567890,"03/13/2025, 01:24:16 PM",True,['High transaction amount'],2025-03-13 13:24:16.658447
user77,user50,contact,10365,Contact Payment,1234567890123456,02/29,111,9876543210,SBIN1234567,9152251477,"03/05/2025, 01:24:16 PM",False,['High transaction amount'],2025-03-05 13:24:16.658447
user84,user35,neft,7695,NEFT Transfer,1234567890123456,02/29,-,9876543210,SBIN1234567,1234567890,"02/26/2025, 01:24:16 PM",False,[],2025-02-26 13:24:16.658447
user39,user6,contact,9747,Contact Payment,-,02/29,111,-,SBIN1234567,1234567890,"03/16/2025, 01:24:16 PM",False,[],2025-03-16 13:24:16.658447
user76,user16,contact,7314,Contact Payment,1234567890123456,02/29,-,-,-,+441632960961,"03/11/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-03-11 13:24:16.658447
user23,user22,contact,15510,Contact Payment,1234567890123456,-,-,-,-,1234567890,"03/09/2025, 01:24:16 PM",False,['High transaction amount'],2025-03-09 13:24:16.658447
user11,user64,neft,10567,Card Payment,1234567890123456,02/29,-,-,SBIN1234567,+441632960961,"03/01/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-03-01 13:24:16.658447
user74,user94,contact,16746,Card Payment,-,02/29,-,-,-,9152251477,"03/04/2025, 01:24:16 PM",False,['High transaction amount'],2025-03-04 13:24:16.658447
user18,user51,neft,15568,NEFT Transfer,-,02/29,-,9876543210,SBIN1234567,+441632960961,"03/03/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-03-03 13:24:16.658447
user100,user71,card,12090,NEFT Transfer,1234567890123456,-,111,9876543210,-,+14155552671,"03/01/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-03-01 13:24:16.658447
user44,user47,contact,5406,Contact Payment,-,02/29,-,9876543210,SBIN1234567,+441632960961,"03/01/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-03-01 13:24:16.658447
user69,user5,neft,7481,Contact Payment,1234567890123456,02/29,-,9876543210,-,1234567890,"03/01/2025, 01:24:16 PM",False,[],2025-03-01 13:24:16.658447
user17,user84,card,11703,Card Payment,-,-,111,-,SBIN1234567,9152251477,"03/10/2025, 01:24:16 PM",False,['High transaction amount'],2025-03-10 13:24:16.658447
user29,user28,contact,7887,NEFT Transfer,-,-,111,9876543210,-,+441632960961,"02/17/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-02-17 13:24:16.658447
user1,user100,contact,4551,NEFT Transfer,-,-,111,9876543210,SBIN1234567,+14155552671,"02/21/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-02-21 13:24:16.658447
user78,user79,neft,10475,Contact Payment,-,-,-,-,SBIN1234567,+441632960961,"02/19/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-02-19 13:24:16.658447
user87,user57,contact,5150,Contact Payment,1234567890123456,-,-,-,SBIN1234567,+441632960961,"03/07/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-03-07 13:24:16.658447
user20,user96,contact,6575,Contact Payment,1234567890123456,02/29,-,9876543210,-,+441632960961,"02/27/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-02-27 13:24:16.658447
user11,user78,neft,4695,NEFT Transfer,1234567890123456,-,-,-,-,+14155552671,"03/07/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-03-07 13:24:16.658447
user6,user10,card,6739,Contact Payment,1234567890123456,-,111,9876543210,-,1234567890,"02/14/2025, 01:24:16 PM",False,[],2025-02-14 13:24:16.658447
user10,user74,card,47316,Card Payment,-,02/29,111,-,-,1234567890,"02/24/2025, 01:24:16 PM",True,['High transaction amount'],2025-02-24 13:24:16.658447
user34,user8,neft,7826,NEFT Transfer,-,-,111,9876543210,SBIN1234567,+14155552671,"03/02/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-03-02 13:24:16.658447
user9,user20,card,13893,Contact Payment,1234567890123456,02/29,-,-,SBIN1234567,+441632960961,"02/18/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-02-18 13:24:16.658447
user4,user95,neft,14393,NEFT Transfer,-,-,111,9876543210,-,+14155552671,"02/23/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-02-23 13:24:16.658447
user33,user15,neft,7386,Contact Payment,1234567890123456,02/29,111,-,SBIN1234567,+441632960961,"03/01/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-03-01 13:24:16.658447
user46,user97,neft,17823,Contact Payment,1234567890123456,-,-,-,SBIN1234567,1234567890,"03/03/2025, 01:24:16 PM",False,['High transaction amount'],2025-03-03 13:24:16.658447
user16,user41,contact,12732,NEFT Transfer,1234567890123456,-,111,9876543210,SBIN1234567,+441632960961,"02/23/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-02-23 13:24:16.658447
user20,user31,contact,14252,Contact Payment,-,02/29,-,-,-,9152251477,"03/06/2025, 01:24:16 PM",False,['High transaction amount'],2025-03-06 13:24:16.658447
user17,user80,card,10415,Contact Payment,1234567890123456,02/29,-,9876543210,-,+441632960961,"02/23/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-02-23 13:24:16.658447
user40,user49,neft,12472,Card Payment,1234567890123456,-,-,9876543210,SBIN1234567,1234567890,"03/13/2025, 01:24:16 PM",False,['High transaction amount'],2025-03-13 13:24:16.658447
user54,user90,card,7922,Contact Payment,-,-,111,-,SBIN1234567,+14155552671,"02/19/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-02-19 13:24:16.658447
user68,user21,neft,13757,Contact Payment,-,-,-,-,-,9152251477,"03/14/2025, 01:24:16 PM",False,['High transaction amount'],2025-03-14 13:24:16.658447
user20,user58,neft,19845,Contact Payment,-,02/29,-,9876543210,-,9152251477,"02/15/2025, 01:24:16 PM",False,['High transaction amount'],2025-02-15 13:24:16.658447
user39,user97,contact,10085,Contact Payment,-,02/29,-,9876543210,SBIN1234567,9152251477,"02/17/2025, 01:24:16 PM",False,['High transaction amount'],2025-02-17 13:24:16.658447
user67,user79,contact,8804,Card Payment,-,02/29,111,-,-,+14155552671,"03/01/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-03-01 13:24:16.658447
user74,user93,contact,12467,Card Payment,-,-,111,9876543210,SBIN1234567,+14155552671,"03/14/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-03-14 13:24:16.658447
user31,user72,card,10985,NEFT Transfer,1234567890123456,02/29,111,-,SBIN1234567,9152251477,"02/15/2025, 01:24:16 PM",False,['High transaction amount'],2025-02-15 13:24:16.658447
user56,user22,card,5746,NEFT Transfer,1234567890123456,-,-,-,-,9152251477,"02/28/2025, 01:24:16 PM",False,[],2025-02-28 13:24:16.658447
user27,user75,neft,3981,Contact Payment,1234567890123456,-,-,9876543210,SBIN1234567,+441632960961,"03/02/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-03-02 13:24:16.658447
user89,user77,neft,3102,Card Payment,1234567890123456,02/29,-,9876543210,SBIN1234567,+441632960961,"02/27/2025, 01:24:16 PM",True,['Transaction to a non-Indian contact number'],2025-02-27 13:24:16.658447
user20,user68,contact,48929,Card Payment,-,-,-,9876543210,-,1234567890,"03/07/2025, 01:24:16 PM",True,['High transaction amount'],2025-03-07 13:24:16.659447
user90,user31,card,13650,Contact Payment,-,02/29,111,9876543210,-,+14155552671,"03/08/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-03-08 13:24:16.659447
user54,user9,neft,9907,Contact Payment,-,-,111,-,SBIN1234567,9152251477,"03/01/2025, 01:24:16 PM",False,[],2025-03-01 13:24:16.659447
user42,user35,card,12527,NEFT Transfer,1234567890123456,02/29,111,9876543210,SBIN1234567,1234567890,"03/12/2025, 01:24:16 PM",False,['High transaction amount'],2025-03-12 13:24:16.659447
user6,user69,neft,14165,Card Payment,-,-,-,9876543210,SBIN1234567,+441632960961,"03/11/2025, 01:24:16 PM",True,"['High transaction amount', 'Transaction to a non-Indian contact number']",2025-03-11 13:24:16.659447
